snesor_1,1547717201,5.2
snesor_6,1547717201,15.4
snesor_7,1547717201,6.7
snesor_10,1547717201,38.4
snesor_1,1547717205,21.2
snesor_1,1547717212,37.1
snesor_1,1547717210,5.2
snesor_1,1547717213,5.2
snesor_1,1547717215,1.2
snesor_1,1547717315,1.2
snesor_1,1547717316,1.2
snesor_1,1547717320,1.2
snesor_1,1547718199,35.2
snesor_1,1547718206,35.2
snesor_1,1547718210,34.2
snesor_1,1547718211,34.2
snesor_1,1547718209,34.2
snesor_1,1547718212,34.2
snesor_1,1547718213,34.2
snesor_1,1547718206,34.2
snesor_1,1547718205,34.2
snesor_1,1547718202,31.2
snesor_1,1547718270,35.2
snesor_1,1547718272,34.21
